FanID,Institution,EducationStatus,EducationDate,Degree,DegreeType,College,Division,Department
563,Florida State University,Graduated,1968-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Mathematics Education
569,Florida State University,Graduated,2014-05-02T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences","Nutrition, Food & Exercise Sci",Athletic Training
572,Florida State University,Graduated,1974-06-01T00:00:00.000000000,Bachelor of Social Welfare,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
599,University Of West Florida,Graduated,,Bachelor of Science,,,,
599,Florida State University,Graduated,2009-05-02T00:00:00.000000000,Doctor of Philosophy,PRIMARY,Social Sciences,Public Administration,Public Administration
599,Florida State University,Graduated,1987-12-12T00:00:00.000000000,Master of Public Administration,PRIMARY,Social Sciences,Public Administration,Public Administration
644,Florida State University,Graduated,1971-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
644,Florida State University,Graduated,1972-06-01T00:00:00.000000000,Master of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
654,Florida State University,Graduated,1973-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Elementary Education
664,Florida State University,Graduated,1978-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
683,Florida State University,Graduated,1973-06-01T00:00:00.000000000,Bachelor of Arts,PRIMARY,Social Sciences,Political Science,Political Science
715,Florida State University,Graduated,2012-04-28T00:00:00.000000000,Bachelor of Science,HISTORICAL,"Education, Health, and Human Sciences",Retail Merch & Product Dev,Merchandising/Product Dev
715,Florida State University,Graduated,2012-04-28T00:00:00.000000000,Bachelor of Science,PRIMARY,Jim Moran Entrepreneurship,Jim Moran Entrepreneurship,Merchandising/Product Dev
736,Florida State University,Graduated,1973-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Education,Habilitative Science
737,Florida State University,Graduated,2011-08-13T00:00:00.000000000,Master of Science,PRIMARY,"Education, Health, and Human Sciences",Sports Management,Sports Administration
740,Florida State University,Graduated,1971-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Education,Education
789,Florida State University,Graduated,1998-08-14T00:00:00.000000000,Bachelor of Science,PRIMARY,Engineering,Electrical & Computer,Electrical Engineering
799,Florida State University,Graduated,2008-04-26T00:00:00.000000000,Bachelor of Arts,PRIMARY,Communication & Information,Communication,Digital Media Production
799,Florida State University,Graduated,2007-04-28T00:00:00.000000000,Associate of Arts,PRIMARY,Communication & Information,Communication,Mass Media Studies
800,Florida State University,Graduated,2003-05-03T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,Psychology,Psychology
810,Florida State University,Incomplete,,,,,,
832,Florida State University,Graduated,2008-04-26T00:00:00.000000000,Bachelor of Arts,SECONDARY,Arts & Sciences,Psychology,Psychology
832,Florida State University,Graduated,2008-04-26T00:00:00.000000000,Bachelor of Arts,PRIMARY,Social Sciences,International Affairs,International Affairs
852,Florida State University,Graduated,2009-05-02T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
853,Florida State University,Graduated,1978-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,Psychology,Psychology
856,Florida State University,Graduated,2008-08-09T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
892,Florida State University,Graduated,2005-08-12T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
911,Florida State University,Graduated,1987-08-13T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,Geology,Geology
911,Chipola Junior College,Graduated,1983-12-01T00:00:00.000000000,Associate of Arts,,,,
919,Florida State University,Graduated,2011-04-30T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
921,Florida State University,Graduated,1991-04-27T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,Political Science,Political Science
924,Florida State University,Graduated,2009-05-02T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Elementary Education
964,Florida State University,Graduated,1991-04-27T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
1034,Florida State University,Graduated,1994-08-12T00:00:00.000000000,Bachelor of Science,PRIMARY,Communication & Information,Communication,Media Performance
1034,Florida State University,Graduated,1992-12-12T00:00:00.000000000,Associate of Arts,PRIMARY,Undergraduate Studies,Undergraduate Studies,Undergraduate Studies
1045,Florida State University,Graduated,2007-08-10T00:00:00.000000000,Master of Sci. Nursing,PRIMARY,Nursing,Nursing,Nursing
1045,Florida State University,Graduated,2000-12-16T00:00:00.000000000,Bachelor of Science in Nursing,PRIMARY,Nursing,Nursing,Nursing
1081,Florida State University,Graduated,2004-08-13T00:00:00.000000000,Bachelor of Arts,PRIMARY,Arts & Sciences,English,Literature
1199,Florida State University,Graduated,1991-04-27T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
1199,Florida State University,Graduated,1992-08-14T00:00:00.000000000,Master of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
1250,Florida State University,Graduated,2016-08-06T00:00:00.000000000,Master of Public Administration,PRIMARY,Social Sciences,Public Administration,Public Administration
1254,Florida State University,Graduated,2011-12-17T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
1254,Florida State University,Graduated,2011-12-17T00:00:00.000000000,Bachelor of Science,SECONDARY,Business,Marketing,Marketing
1254,Florida State University,Graduated,2011-12-17T00:00:00.000000000,Bachelor of Science,SECONDARY,Business,Risk Management & Insurance,Real Estate
1264,Florida State University,Graduated,1995-08-15T00:00:00.000000000,Bachelor of Arts,PRIMARY,Arts & Sciences,Latin American/Caribbean Study,Latin-American and Caribbean Studies/Business
