FanID,DriveYear,predicted_amount,pct_years_met_commitment,high_amount,high_reliability,quadrant
2791,2023,144.93599,100.0,False,True,Base Estable
2821,2024,1250.3646,100.0,False,True,Base Estable
2860,2022,52.330475,100.0,False,True,Base Estable
2874,2023,1668.809,100.0,True,True,VIP — Prioridad Máxima
2904,2024,1666.0547,100.0,True,True,VIP — Prioridad Máxima
3065,2017,92.868866,100.0,False,True,Base Estable
3068,2023,794.7447,100.0,False,True,Base Estable
3081,2022,144.12283,100.0,False,True,Base Estable
3095,2024,1916.0938,100.0,True,True,VIP — Prioridad Máxima
3142,2015,659.33563,100.0,False,True,Base Estable
3216,2020,3199.3528,100.0,True,True,VIP — Prioridad Máxima
3354,2024,1258.443,100.0,True,True,VIP — Prioridad Máxima
3387,2023,744.3884,100.0,False,True,Base Estable
3391,2024,677.7052,100.0,False,True,Base Estable
3448,2024,5888.157,100.0,True,True,VIP — Prioridad Máxima
3485,2024,3234.0032,100.0,True,True,VIP — Prioridad Máxima
3508,2024,397.9029,100.0,False,True,Base Estable
3512,2018,306.79062,100.0,False,True,Base Estable
3518,2015,341.69165,100.0,False,True,Base Estable
3536,2024,1624.2964,100.0,True,True,VIP — Prioridad Máxima
3624,2024,319.77304,100.0,False,True,Base Estable
3639,2024,3921.6765,100.0,True,True,VIP — Prioridad Máxima
3651,2024,3049.5786,100.0,True,True,VIP — Prioridad Máxima
3661,2022,1306.59,100.0,True,True,VIP — Prioridad Máxima
3701,2024,71.2024,100.0,False,True,Base Estable
3710,2018,630.1672,100.0,False,True,Base Estable
3732,2024,818.75055,100.0,False,True,Base Estable
3745,2018,1262.434,100.0,True,True,VIP — Prioridad Máxima
3764,2015,150.17575,100.0,False,True,Base Estable
3801,2024,148.24866,87.5,False,False,Baja Prioridad
3809,2023,94.601204,100.0,False,True,Base Estable
3876,2025,638.5128,100.0,False,True,Base Estable
3930,2017,101.724,100.0,False,True,Base Estable
3951,2024,2372.972,100.0,True,True,VIP — Prioridad Máxima
3952,2018,463.7094,100.0,False,True,Base Estable
3987,2024,77.2461,100.0,False,True,Base Estable
3996,2025,5054.6475,100.0,True,True,VIP — Prioridad Máxima
4005,2017,5601.7026,100.0,True,True,VIP — Prioridad Máxima
4027,2018,354.78723,100.0,False,True,Base Estable
4040,2018,105.487274,100.0,False,True,Base Estable
4076,2023,851.41144,100.0,False,True,Base Estable
4105,2021,3980.3958,100.0,True,True,VIP — Prioridad Máxima
4148,2015,134.862,100.0,False,True,Base Estable
4204,2024,131.72665,100.0,False,True,Base Estable
4229,2024,332.13904,100.0,False,True,Base Estable
4312,2024,982.94135,100.0,False,True,Base Estable
4318,2016,648.32886,100.0,False,True,Base Estable
4322,2024,134.92926,87.5,False,False,Baja Prioridad
4364,2024,373.6733,100.0,False,True,Base Estable
4458,2016,545.39954,100.0,False,True,Base Estable
4481,2016,690.262,100.0,False,True,Base Estable
4489,2015,3550.7058,100.0,True,True,VIP — Prioridad Máxima
4497,2025,3177.177,100.0,True,True,VIP — Prioridad Máxima
4565,2018,730.4748,100.0,False,True,Base Estable
4579,2024,3358.37,100.0,True,True,VIP — Prioridad Máxima
4597,2017,141.89267,100.0,False,True,Base Estable
4657,2021,471.77335,100.0,False,True,Base Estable
4738,2016,351.2818,100.0,False,True,Base Estable
4739,2015,961.43665,100.0,False,True,Base Estable
4755,2018,585.63763,100.0,False,True,Base Estable
4785,2019,333.48724,100.0,False,True,Base Estable
4799,2024,2040.1151,100.0,True,True,VIP — Prioridad Máxima
4823,2017,451.95627,100.0,False,True,Base Estable
4857,2023,1339.6605,100.0,True,True,VIP — Prioridad Máxima
4888,2020,626.76917,100.0,False,True,Base Estable
4928,2024,1267.682,100.0,True,True,VIP — Prioridad Máxima
4958,2015,117.71733,100.0,False,True,Base Estable
4959,2024,75.90396,100.0,False,True,Base Estable
5044,2024,478.35135,100.0,False,True,Base Estable
5052,2024,88.02297,50.0,False,False,Baja Prioridad
5062,2023,455.1331,100.0,False,True,Base Estable
5081,2023,2112.4146,100.0,True,True,VIP — Prioridad Máxima
5120,2024,12914.812,100.0,True,True,VIP — Prioridad Máxima
5132,2024,112.1832,100.0,False,True,Base Estable
5254,2016,364.0415,100.0,False,True,Base Estable
5268,2022,71.63484,100.0,False,True,Base Estable
5308,2024,4860.9966,100.0,True,True,VIP — Prioridad Máxima
5360,2019,805.3945,100.0,False,True,Base Estable
5382,2017,1072.3025,100.0,False,True,Base Estable
